origine;destination
1;129
1;139
1;193
2;16
2;54
2;104
3;50
3;83
3;92
3;153
4;81
4;106
4;127
4;128
5;52
5;146
6;9
6;62
6;105
6;118
7;18
7;25
7;121
7;177
7;178
8;170
8;179
9;125
9;145
10;30
10;94
11;57
12;15
12;40
12;51
12;58
13;80
13;123
14;50
14;85
14;155
15;40
15;174
16;104
16;119
16;123
17;40
17;82
18;45
18;110
18;121
19;110
19;117
19;151
20;27
20;80
20;173
21;31
21;91
21;184
22;52
22;135
23;37
23;99
23;155
24;46
24;73
24;83
25;103
25;109
25;178
26;34
26;136
26;160
27;119
27;164
27;173
28;53
28;88
28;111
28;141
29;82
29;88
30;33
30;64
30;90
30;94
30;169
31;91
31;129
31;184
31;193
32;48
32;85
32;155
33;37
33;64
33;94
33;132
34;56
34;136
34;152
34;181
35;107
35;134
35;145
35;189
36;89
37;99
38;63
38;162
39;45
39;68
39;121
39;144
39;149
41;70
41;95
41;183
42;43
42;102
42;188
43;102
43;144
44;82
44;195
45;121
45;149
46;83
46;103
46;143
46;153
47;113
47;166
47;179
48;85
48;142
48;155
49;59
49;137
49;151
50;85
50;92
51;58
51;168
52;79
52;84
52;150
53;141
54;185
55;61
55;158
55;196
56;167
56;181
57;98
57;122
57;165
58;120
59;76
59;106
59;137
59;151
60;109
60;133
60;177
61;196
62;105
62;118
63;96
63;160
64;94
64;132
65;82
65;97
66;113
67;74
67;154
67;187
68;84
68;121
68;144
68;177
69;106
69;198
70;95
70;99
70;140
70;171
71;146
72;75
72;93
72;100
73;92
74;118
74;187
75;108
75;139
75;147
75;200
76;106
77;131
77;176
77;197
78;107
78;175
78;189
79;84
79;150
80;138
80;141
81;106
81;128
82;88
82;97
83;92
83;153
84;102
84;150
85;142
85;155
86;184
87;104
87;128
88;154
88;187
89;126
89;168
89;180
90;169
91;184
91;191
92;192
93;100
93;131
95;140
95;183
96;160
97;175
98;127
98;142
100;172
101;163
102;144
104;128
105;191
106;198
107;145
107;182
107;189
108;116
108;139
109;133
109;178
110;117
112;137
114;148
115;143
115;194
116;186
116;200
117;157
119;173
120;195
121;149
122;159
122;165
123;148
124;158
124;161
125;145
126;152
126;168
129;193
130;172
130;191
131;147
131;197
131;200
133;177
134;166
137;151
138;141
138;162
140;171
143;153
147;200
152;160
154;187
156;190
157;192
159;163
159;165
161;163
162;199
167;180
182;189
183;194
186;200
190;196
