id entrepot;id site;cout fixe;stock
1;378;569;10
2;86;220;13
3;496;531;8
4;240;508;7
5;246;218;8
6;115;489;7
7;434;533;8
8;12;469;9
9;429;567;6
10;120;56;14
11;349;129;8
12;1;249;14
13;322;188;10
14;251;256;5
15;455;162;7
16;193;402;5
17;49;177;9
18;82;145;5
19;371;209;13
20;106;567;6
21;356;44;6
22;195;413;10
23;459;447;11
24;66;331;6
25;328;18;8
26;155;34;7
27;147;331;13
28;302;63;10
29;131;402;11
30;355;534;8
31;187;164;11
32;127;287;6
33;186;272;11
34;406;174;13
35;184;441;6
36;390;567;9
37;310;33;8
38;460;447;5
39;275;482;14
40;268;237;7
41;67;170;13
42;102;533;7
43;336;397;7
44;143;117;11
45;384;67;12
46;50;490;8
47;164;217;9
48;373;435;5
49;294;528;12
50;270;158;7
51;198;227;7
52;393;400;12
53;457;279;10
54;57;162;5
55;203;195;7
56;84;25;12
57;481;333;9
58;11;380;6
59;241;226;10
60;17;99;14
61;148;185;10
62;290;537;7
63;210;481;9
64;311;363;6
65;124;255;8
66;180;326;9
67;490;304;11
68;159;517;6
69;332;311;12
70;304;507;9
71;430;298;13
72;403;224;11
73;213;236;7
74;452;295;5
75;491;418;11
76;331;46;7
77;196;345;5
78;370;114;5
79;191;17;7
80;69;161;14
81;58;284;9
82;295;365;5
83;289;573;13
84;436;548;14
85;269;484;6
86;56;336;10
87;64;318;11
88;145;321;5
89;109;220;13
90;245;282;5
91;487;553;13
92;399;405;6
93;237;395;7
94;165;230;6
95;471;218;7
96;252;573;11
97;439;451;12
98;98;125;12
99;142;364;7
100;36;378;9
