origine;destination
1;3
1;57
1;115
1;215
1;296
1;453
2;200
2;462
3;57
3;115
4;212
4;264
4;360
4;454
5;101
5;199
6;91
6;221
7;26
7;268
7;283
7;310
7;395
8;279
8;376
8;399
9;79
9;336
9;401
10;123
10;194
10;212
11;321
11;325
12;272
12;288
12;293
13;36
13;50
13;139
13;174
14;52
14;168
15;267
15;285
15;398
16;90
16;151
16;195
17;76
17;256
17;430
17;487
18;120
18;356
19;243
19;423
20;152
20;169
20;276
21;41
21;500
22;242
22;287
22;482
23;63
23;238
23;274
23;284
23;337
24;295
24;303
24;467
24;493
25;317
26;136
26;228
26;268
27;268
27;310
27;392
27;395
28;270
28;273
29;339
29;370
29;443
30;390
31;47
31;262
31;304
32;135
32;210
32;278
32;302
32;462
33;38
33;41
33;74
33;146
33;259
33;385
33;391
34;131
35;72
35;202
35;240
35;326
35;434
36;68
36;151
37;171
37;297
38;41
38;259
39;55
40;126
40;260
41;259
41;385
41;445
42;162
42;367
42;433
43;337
43;410
44;368
44;371
45;295
45;378
46;138
48;232
48;325
49;448
50;174
51;217
51;315
52;77
52;181
52;285
53;394
53;411
53;495
54;374
54;428
54;481
55;297
55;424
56;153
56;263
56;397
57;115
58;173
58;313
58;321
58;386
59;305
59;338
59;459
59;473
60;74
60;146
60;385
61;208
61;222
61;363
62;92
62;105
62;125
62;369
63;165
63;284
63;498
64;461
65;140
65;319
66;316
66;463
67;170
67;245
67;320
67;326
67;455
67;479
68;265
69;98
69;323
70;186
70;342
70;486
71;172
71;460
71;490
72;240
72;427
73;124
73;333
74;146
74;385
74;391
75;137
75;220
76;113
76;258
76;430
76;450
76;487
77;448
78;449
78;459
78;477
79;156
79;336
79;359
79;401
80;394
80;495
81;192
81;264
81;441
82;288
82;355
82;419
83;143
83;319
84;172
84;290
85;316
85;338
85;461
86;223
87;267
87;463
88;100
88;119
88;300
88;403
89;97
89;339
89;349
89;443
90;187
90;412
91;96
91;221
92;456
92;499
93;144
93;203
93;491
94;160
94;480
95;114
95;256
95;373
95;388
95;487
96;209
96;221
97;339
97;340
98;246
98;271
98;323
99;317
99;346
99;500
100;119
101;199
101;282
102;157
102;196
102;237
102;312
102;469
103;211
103;399
103;451
104;243
104;495
105;125
105;189
105;372
106;121
106;179
106;197
106;275
106;407
107;126
107;145
107;241
107;478
108;114
108;175
109;236
109;319
110;163
110;431
110;492
111;139
111;315
111;348
112;190
112;229
112;488
113;258
113;364
114;373
114;429
115;453
116;176
116;213
116;252
117;253
117;368
117;448
118;185
118;405
119;261
119;300
120;356
120;393
121;136
121;179
122;155
122;227
123;159
123;212
124;460
125;189
125;372
125;415
127;303
127;382
127;396
128;129
128;143
128;167
128;192
128;236
129;131
129;143
129;192
129;292
130;138
130;273
130;396
130;494
131;292
132;134
132;400
133;281
133;383
133;442
134;352
134;452
135;180
135;210
135;389
135;457
136;231
136;460
137;219
138;494
139;174
139;348
140;191
141;318
141;355
142;230
142;324
143;292
143;319
144;161
144;205
145;241
145;343
145;361
145;478
146;385
147;227
147;230
147;446
147;483
148;154
148;334
148;474
149;187
149;224
150;390
150;465
151;289
153;263
153;418
153;421
154;178
154;334
154;474
154;479
155;435
155;480
156;359
156;401
157;194
157;196
157;469
158;238
158;337
158;387
158;410
159;400
160;480
161;366
162;225
162;367
162;397
162;418
163;276
163;492
164;218
164;461
164;476
165;370
165;498
166;222
166;350
167;236
168;496
170;479
171;248
171;297
172;290
172;490
173;313
173;386
173;393
175;263
176;213
176;252
176;362
177;215
177;296
177;351
177;377
178;271
178;466
178;474
181;288
181;419
182;428
182;435
182;472
183;234
183;266
183;369
183;425
184;305
184;473
185;354
185;405
186;217
186;422
187;195
187;458
188;286
189;304
189;372
189;415
190;291
190;488
191;354
191;405
192;441
193;247
193;259
194;469
195;458
196;237
197;275
197;333
197;381
197;407
198;208
198;255
198;357
200;462
200;468
201;407
201;475
202;434
202;485
203;307
204;283
204;409
205;328
206;241
207;220
207;491
208;222
208;255
208;363
209;343
209;352
