id site;x;y
1;552;1075
2;786;1093
3;511;1079
4;499;935
5;1135;906
6;665;862
7;1036;261
8;430;875
9;981;421
10;569;967
11;62;312
12;856;771
13;649;206
14;927;852
15;992;871
16;751;88
17;69;913
18;203;242
19;352;182
20;584;426
21;96;741
22;573;26
23;894;586
24;114;478
25;202;700
26;997;231
27;997;319
28;273;436
29;1055;560
30;682;638
31;675;337
32;832;976
33;55;668
34;348;1148
35;297;31
36;658;171
37;333;365
38;51;694
39;291;309
40;775;606
41;57;718
42;212;1116
43;858;523
44;1111;713
45;122;544
46;222;333
47;689;336
48;61;393
49;1052;685
50;613;210
51;522;302
52;973;792
53;403;122
54;325;466
55;298;323
56;127;1054
57;489;1094
58;102;314
59;1101;1087
60;14;616
61;1143;98
62;713;468
63;974;606
64;1016;1140
65;217;913
66;995;970
67;218;99
68;646;120
69;2;41
70;452;316
71;938;165
72;259;12
73;855;252
74;9;648
75;423;809
76;95;902
77;1008;745
78;1129;993
79;972;451
80;441;173
81;408;1007
82;876;727
83;244;995
84;891;138
85;1048;1038
86;294;130
87;1002;945
88;319;620
89;1094;519
90;781;71
91;681;858
92;695;502
93;556;726
94;424;598
95;49;959
96;718;859
97;1116;550
98;51;3
99;163;728
100;308;639
101;1128;908
102;684;968
103;381;911
104;380;175
105;674;426
106;916;295
107;801;675
108;52;1024
109;275;917
110;542;427
111;567;316
112;33;217
113;104;854
114;45;1010
115;513;1067
116;521;148
117;1095;734
118;301;770
119;261;603
120;159;247
121;931;247
122;527;541
123;561;931
124;880;228
125;690;424
126;783;662
127;164;432
128;326;975
129;321;1036
130;213;396
131;326;1085
132;612;876
133;416;58
134;618;826
135;797;920
136;942;218
137;386;802
138;218;368
139;618;285
140;205;869
141;924;675
142;589;635
143;290;987
144;511;712
145;801;696
146;44;637
147;596;571
148;127;124
149;799;12
150;680;583
151;713;140
152;577;444
153;115;1084
154;166;105
155;471;551
156;922;455
157;670;953
158;874;580
159;578;899
160;424;615
161;457;702
162;180;1096
163;542;424
164;960;1098
165;985;594
166;1079;30
167;320;958
168;880;831
169;599;393
170;217;102
171;321;375
172;900;150
173;139;316
174;666;243
175;32;1105
176;518;176
177;635;1098
178;144;47
179;925;254
180;812;908
181;932;766
182;413;503
183;781;444
184;1128;1099
185;284;792
186;469;318
187;750;29
188;1069;822
189;726;402
190;82;240
191;235;866
192;376;1028
193;112;651
194;628;955
195;714;67
196;698;967
197;895;340
198;1060;135
199;1132;889
200;779;1139
201;941;348
202;299;68
203;579;747
204;1137;328
205;510;659
206;837;677
207;491;798
208;1113;128
209;727;784
210;817;951
211;378;905
212;534;963
213;520;125
214;333;142
215;593;1124
216;832;841
217;497;343
218;960;1096
219;372;769
220;482;813
221;671;839
222;1131;57
223;314;122
224;831;13
225;213;1067
226;353;400
227;543;559
228;992;178
229;73;183
230;594;602
231;933;214
232;5;404
233;351;244
234;787;479
235;657;496
236;322;934
237;718;926
238;896;568
239;828;95
240;245;8
241;824;676
242;587;48
243;369;184
244;26;773
245;213;56
246;70;74
247;121;647
248;341;400
249;176;790
250;892;914
251;278;494
252;499;119
253;1092;744
254;193;532
255;1050;118
256;46;955
257;10;793
258;103;856
259;72;670
260;820;585
261;232;533
262;673;315
263;114;1084
264;453;970
265;647;98
266;800;392
267;1020;881
268;1002;289
269;1049;371
270;270;454
271;79;50
272;815;821
273;246;411
274;884;620
275;934;345
276;562;398
277;335;157
278;778;993
279;463;890
280;786;498
281;363;77
282;1117;922
283;1086;304
284;960;612
285;991;836
286;1129;795
287;510;10
288;871;740
289;759;156
290;862;180
291;96;262
292;280;1045
293;835;771
294;401;230
295;95;508
296;586;1071
297;310;345
298;474;1016
299;879;905
300;303;554
301;505;1003
302;857;1041
303;175;474
304;668;375
305;1108;1105
306;193;740
307;615;774
308;349;890
309;1091;1104
310;971;283
311;867;877
312;671;998
313;154;306
314;1128;741
315;544;291
316;1045;993
317;173;710
318;950;699
319;226;965
320;212;68
321;74;304
322;305;182
323;3;51
324;626;651
325;55;345
326;247;80
327;1049;469
328;487;632
329;1029;880
330;1094;427
331;912;932
332;1031;350
333;847;321
334;140;161
335;404;231
336;968;410
337;889;568
338;1087;1093
339;1081;520
340;1101;579
341;845;309
342;437;266
343;768;743
344;797;551
345;17;538
346;177;746
347;494;447
348;602;315
349;1090;458
350;999;39
351;639;1090
352;657;810
353;255;514
354;247;869
355;884;701
356;195;251
357;1054;133
358;907;74
359;920;446
360;468;949
361;812;715
362;515;210
363;1124;102
364;136;808
365;22;782
366;450;719
367;195;1123
368;1117;731
369;741;469
370;1048;564
371;1133;711
372;667;420
373;19;999
374;282;476
375;226;473
376;394;893
377;686;1084
378;108;603
379;988;49
380;744;1001
381;832;362
382;158;405
383;416;61
384;1127;244
385;22;666
386;118;302
387;836;597
388;42;954
389;756;916
390;678;583
391;9;670
392;1001;365
393;171;294
394;438;144
395;1005;287
396;169;401
397;185;1063
398;1001;880
399;421;900
400;593;874
